Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Cell cycle,3/124,0.0023955376117758,0.1485233319301034,0,0,12.29504132231405,74.19009409618413,CCNA2;CDC45;CDC6
KEGG_2021_Human,Progesterone-mediated oocyte maturation,2/100,0.0195637897091908,0.4074718112891836,0,0,9.885017421602788,38.888398778373954,CCNA2;AURKA
KEGG_2021_Human,Pathways in cancer,4/531,0.026803570053025,0.4074718112891836,0,0,3.781443098331144,13.685875206560018,CCNA2;IL23A;ERBB2;ESR1
KEGG_2021_Human,Breast cancer,2/147,0.0398141798494407,0.4074718112891836,0,0,6.665096719932716,21.48515357635476,ERBB2;ESR1
KEGG_2021_Human,Cellular senescence,2/156,0.04431888899254,0.4074718112891836,0,0,6.2727272727272725,19.54797791139511,CCNA2;MYBL2
KEGG_2021_Human,Epstein-Barr virus infection,2/202,0.0699894688360044,0.4074718112891836,0,0,4.818780487804878,12.815115394903914,CCNA2;PSMD3
KEGG_2021_Human,Proteoglycans in cancer,2/205,0.0718022170651039,0.4074718112891836,0,0,4.746846089150547,12.50243274772257,ERBB2;ESR1
KEGG_2021_Human,Bladder cancer,1/41,0.0845440470313178,0.4074718112891836,0,0,11.855357142857144,29.28845370168136,ERBB2
KEGG_2021_Human,Chemical carcinogenesis,2/239,0.0933601118388569,0.4074718112891836,0,0,4.058865905114748,9.624752568777712,CDC6;ESR1
KEGG_2021_Human,Proteasome,1/46,0.0943639772927112,0.4074718112891836,0,0,10.535449735449737,24.86993918817013,PSMD3
KEGG_2021_Human,Cholesterol metabolism,1/50,0.1021457742794159,0.4074718112891836,0,0,9.673469387755102,22.068611238785657,STARD3
KEGG_2021_Human,Endocrine and other factor-regulated calcium reabsorption,1/53,0.107939223970153,0.4074718112891836,0,0,9.114010989010987,20.289492337496565,ESR1
KEGG_2021_Human,Endometrial cancer,1/58,0.1175139323807893,0.4074718112891836,0,0,8.312447786131997,17.798599724969133,ERBB2
KEGG_2021_Human,Inflammatory bowel disease,1/65,0.1307500786928151,0.4074718112891836,0,0,7.400669642857143,15.056422415612554,IL23A
KEGG_2021_Human,Acute myeloid leukemia,1/67,0.1344960845583085,0.4074718112891836,0,0,7.175685425685426,14.396004988536754,CCNA2
KEGG_2021_Human,Central carbon metabolism in cancer,1/70,0.1400855459416575,0.4074718112891836,0,0,6.862663906142167,13.488579636575569,ERBB2
KEGG_2021_Human,Prolactin signaling pathway,1/70,0.1400855459416575,0.4074718112891836,0,0,6.862663906142167,13.488579636575569,ESR1
KEGG_2021_Human,Adherens junction,1/71,0.1419408528228847,0.4074718112891836,0,0,6.764285714285714,13.206218294131878,ERBB2
KEGG_2021_Human,MicroRNAs in cancer,2/310,0.143212669528809,0.4074718112891836,0,0,3.111973392461197,6.047885502322521,CDCA5;ERBB2
KEGG_2021_Human,Non-small cell lung cancer,1/72,0.1437922497074726,0.4074718112891836,0,0,6.668678739101274,12.933140394434057,ERBB2
KEGG_2021_Human,Inositol phosphate metabolism,1/73,0.1456397446182822,0.4074718112891836,0,0,6.5757275132275135,12.66892294138346,INPP4B
KEGG_2021_Human,Pancreatic cancer,1/76,0.15115889773631,0.4074718112891836,0,0,6.311746031746032,11.9255624938045,ERBB2
KEGG_2021_Human,Pertussis,1/76,0.15115889773631,0.4074718112891836,0,0,6.311746031746032,11.9255624938045,IL23A
KEGG_2021_Human,ErbB signaling pathway,1/85,0.1675082362330531,0.4181228325805128,0,0,5.632936507936508,10.064495849636533,ERBB2
KEGG_2021_Human,Salivary secretion,1/93,0.1817824758162722,0.4181228325805128,0,0,5.141045548654244,8.765197304329645,AQP5
KEGG_2021_Human,Rheumatoid arthritis,1/93,0.1817824758162722,0.4181228325805128,0,0,5.141045548654244,8.765197304329645,IL23A
KEGG_2021_Human,Phosphatidylinositol signaling system,1/97,0.1888296663266832,0.4181228325805128,0,0,4.925843253968254,8.210936918629546,INPP4B
KEGG_2021_Human,Prostate cancer,1/97,0.1888296663266832,0.4181228325805128,0,0,4.925843253968254,8.210936918629546,ERBB2
KEGG_2021_Human,C-type lectin receptor signaling pathway,1/104,0.2010198600663773,0.4192348038516863,0,0,4.589459084604716,7.363105885558578,IL23A
KEGG_2021_Human,Th17 cell differentiation,1/107,0.2061892837983776,0.4192348038516863,0,0,4.458894878706199,7.04041968388812,IL23A
KEGG_2021_Human,HIF-1 signaling pathway,1/109,0.2096174019258431,0.4192348038516863,0,0,4.375881834215168,6.83718980233469,ERBB2
KEGG_2021_Human,AMPK signaling pathway,1/120,0.2282151401742569,0.4257375503560073,0,0,3.969187675070028,5.864341812921208,CCNA2
KEGG_2021_Human,Thyroid hormone signaling pathway,1/121,0.2298844913319307,0.4257375503560073,0,0,3.9359126984126975,5.786493470639194,ESR1
KEGG_2021_Human,Oocyte meiosis,1/129,0.2431129388323608,0.4257375503560073,0,0,3.688430059523809,5.216285399224581,AURKA
KEGG_2021_Human,Estrogen signaling pathway,1/137,0.2561193536495746,0.4257375503560073,0,0,3.470063025210084,4.72661350869186,ESR1
KEGG_2021_Human,Ubiquitin mediated proteolysis,1/140,0.2609402610746575,0.4257375503560073,0,0,3.394655704008222,4.560596992829955,UBE2C
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,1/143,0.2657306473894262,0.4257375503560073,0,0,3.3224346076458757,4.403129846492805,RIF1
KEGG_2021_Human,Spinocerebellar ataxia,1/143,0.2657306473894262,0.4257375503560073,0,0,3.3224346076458757,4.403129846492805,PSMD3
KEGG_2021_Human,Gastric cancer,1/149,0.2752206099425004,0.4257375503560073,0,0,3.1867760617760617,4.111522020998835,ERBB2
KEGG_2021_Human,Spliceosome,1/150,0.276790579535935,0.4257375503560073,0,0,3.1652285075103865,4.065717309137326,SRSF5
KEGG_2021_Human,JAK-STAT signaling pathway,1/162,0.2953730632759782,0.4257375503560073,0,0,2.927536231884058,3.570177569075536,IL23A
KEGG_2021_Human,Hepatitis B,1/162,0.2953730632759782,0.4257375503560073,0,0,2.927536231884058,3.570177569075536,CCNA2
KEGG_2021_Human,Wnt signaling pathway,1/166,0.3014629550579916,0.4257375503560073,0,0,2.855988455988456,3.4246390029225693,CACYBP
KEGG_2021_Human,Tight junction,1/169,0.3059966065596616,0.4257375503560073,0,0,2.804563492063492,3.321111548756176,ERBB2
KEGG_2021_Human,Protein processing in endoplasmic reticulum,1/171,0.3090030607422633,0.4257375503560073,0,0,2.7712885154061624,3.254612585959557,WFS1
KEGG_2021_Human,Tuberculosis,1/180,0.3223754204297258,0.4345060014487608,0,0,2.630752859803139,2.978113549215391,IL23A
KEGG_2021_Human,Transcriptional misregulation in cancer,1/192,0.3398126714804756,0.4482635240806273,0,0,2.463974071303914,2.6595169741311544,CCNA2
KEGG_2021_Human,Focal adhesion,1/201,0.3526022244347344,0.4497041048169056,0,0,2.3520238095238097,2.4517841946791843,ERBB2
KEGG_2021_Human,Viral carcinogenesis,1/203,0.3554113086456189,0.4497041048169056,0,0,2.3285007072135784,2.408786350456257,CCNA2
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,1/219,0.3774594623892746,0.4680497333627005,0,0,2.1558540847531678,2.100431604516088,CCNA2
KEGG_2021_Human,Calcium signaling pathway,1/240,0.4052827212375678,0.4926966415044942,0,0,1.964335525004981,1.7741296592039066,ERBB2
KEGG_2021_Human,Parkinson disease,1/249,0.4168316949369661,0.496991636270998,0,0,1.8921850998463905,1.6557996148946257,PSMD3
KEGG_2021_Human,Prion disease,1/273,0.4465685239262731,0.522400914781678,0,0,1.72312675070028,1.3891200337252825,PSMD3
KEGG_2021_Human,MAPK signaling pathway,1/294,0.4713693517008587,0.5326621349642632,0,0,1.5979197139606696,1.2018166789136435,ERBB2
KEGG_2021_Human,Cytokine-cytokine receptor interaction,1/295,0.4725228616618464,0.5326621349642632,0,0,1.592403628117914,1.1937758723564758,IL23A
KEGG_2021_Human,Huntington disease,1/306,0.4850503223889414,0.5370199997877566,0,0,1.534113973458236,1.109935503605058,PSMD3
KEGG_2021_Human,Human papillomavirus infection,1/331,0.5124508438764594,0.5574026722866752,0,0,1.416089466089466,0.94672730212886,CCNA2
KEGG_2021_Human,PI3K-Akt signaling pathway,1/354,0.5363982777080424,0.5697728293641446,0,0,1.3222716848779172,0.8236143900098101,ERBB2
KEGG_2021_Human,Amyotrophic lateral sclerosis,1/364,0.5464482105952175,0.5697728293641446,0,0,1.2851895579168306,0.7766602806144374,PSMD3
KEGG_2021_Human,Alzheimer disease,1/369,0.5513930606749786,0.5697728293641446,0,0,1.2674042443064182,0.754495081564532,PSMD3
KEGG_2021_Human,Pathways of neurodegeneration,1/475,0.6446565355294196,0.6552246754561314,0,0,0.9786517982720514,0.429664943669711,PSMD3
KEGG_2021_Human,Herpes simplex virus 1 infection,1/498,0.6622359653858924,0.6622359653858924,0,0,0.932260228034876,0.3842155246753684,SRSF5
