probe_id,gene_symbol,original_shap_rank,times_in_top50,top50_frequency_pct
232322_x_at,STARD10,6,20,100.0
210930_s_at,ERBB2,3,20,100.0
205225_at,ESR1,4,19,95.0
220054_at,IL23A,15,19,95.0
213611_at,AQP5,13,18,90.0
218211_s_at,MLPH,1,18,90.0
200934_at,DEK,8,18,90.0
210761_s_at,GRB7,17,18,90.0
221811_at,PGAP3,11,18,90.0
234354_x_at,ERBB2,5,18,90.0
204092_s_at,AURKA,2,17,85.0
55616_at,PGAP3,12,17,85.0
202991_at,STARD3,10,17,85.0
215593_at,,21,15,75.0
223523_at,TMEM108,40,14,70.0
224447_s_at,MIEN1,44,13,65.0
219867_at,CHODL,20,13,65.0
229150_at,,7,13,65.0
242580_at,,28,12,60.0
210085_s_at,ANXA9,43,12,60.0
201710_at,MYBL2,9,12,60.0
228362_s_at,CALHM6,19,11,55.0
224753_at,CDCA5,16,10,50.0
203968_s_at,CDC6,18,10,50.0
218319_at,PELI1,14,9,45.0
219555_s_at,CENPN,29,9,45.0
225421_at,PM20D2,35,9,45.0
221677_s_at,DONSON,31,7,35.0
223259_at,ORMDL3,46,7,35.0
202954_at,UBE2C,41,7,35.0
235046_at,INPP4B,32,7,35.0
203380_x_at,SRSF5,27,7,35.0
233445_at,,25,7,35.0
201388_at,PSMD3,24,7,35.0
1555270_a_at,WFS1,49,6,30.0
203967_at,CDC6,22,5,25.0
206364_at,KIF14,23,5,25.0
223700_at,MND1,26,5,25.0
218976_at,DNAJC12,48,5,25.0
232282_at,WNK3,34,4,20.0
219455_at,CFAP69,30,4,20.0
214858_at,GPC1-AS1,33,4,20.0
225687_at,SACK1D,36,4,20.0
218447_at,CMC2,47,4,20.0
235956_at,CEP126,50,4,20.0
201381_x_at,CACYBP,38,4,20.0
203418_at,CCNA2,39,3,15.0
204126_s_at,CDC45,45,3,15.0
220651_s_at,MCM10,42,2,10.0
214700_x_at,RIF1,37,2,10.0
