probe_id,times_selected,mean_importance,median_importance,mean_rank,best_rank,selection_frequency_pct,gene_symbol
1552733_at,20,0.006210979,0.004434007,76.2,26,100.0,KLHDC1
55616_at,20,0.054796834,0.05016303,43.75,3,100.0,PGAP3
1554572_a_at,20,0.003615979,0.0,135.1,30,100.0,SUV39H2
1558448_a_at,20,0.002128104,0.0,110.35,41,100.0,
1558447_at,20,0.005744904,0.0,113.45,20,100.0,
242580_at,20,0.020244,0.008881973,79.05,7,100.0,
236641_at,20,0.0,0.0,140.75,70,100.0,KIF14
213523_at,20,0.0,0.0,228.45,142,100.0,CCNE1
200934_at,20,0.09509426,0.09510681,26.0,2,100.0,DEK
216836_s_at,20,0.007904846,0.0,125.2,12,100.0,ERBB2
218211_s_at,20,0.27219573,0.30031773,14.95,1,100.0,MLPH
213611_at,20,0.058171265,0.045726024,34.95,5,100.0,AQP5
212023_s_at,20,0.0,0.0,228.4,126,100.0,MKI67
212492_s_at,20,0.00039848514,0.0,214.95,50,100.0,KDM4B
218542_at,20,0.0,0.0,169.0,76,100.0,CEP55
211519_s_at,20,0.000600518,0.0,205.55,46,100.0,KIF2C
228868_x_at,20,0.0,0.0,194.3,81,100.0,CDT1
212496_s_at,20,0.0008203484,0.0,211.8,32,100.0,KDM4B
218355_at,20,0.0,0.0,161.5,59,100.0,KIF4A
201710_at,20,0.040197242,0.01913031,61.15,3,100.0,MYBL2
229610_at,20,0.0,0.0,210.8,84,100.0,CKAP2L
229150_at,20,0.09728123,0.084620975,82.6,1,100.0,
228362_s_at,20,0.022173371,0.018625716,90.45,9,100.0,CALHM6
229538_s_at,20,0.0,0.0,215.25,85,100.0,IQGAP3
218447_at,20,0.0058267433,0.0,123.75,16,100.0,CMC2
218769_s_at,20,0.00025809155,0.0,146.85,53,100.0,ANKRA2
218726_at,20,0.0,0.0,156.4,69,100.0,HJURP
201897_s_at,20,0.00028240273,0.0,151.15,52,100.0,CKS1B
220192_x_at,20,8.597556e-05,0.0,123.45,65,100.0,SPDEF
202779_s_at,20,0.0024533763,0.0,108.3,31,100.0,UBE2S
202705_at,20,0.0,0.0,134.4,71,100.0,CCNB2
203358_s_at,20,0.004963464,0.0,103.3,20,100.0,EZH2
226936_at,20,0.0,0.0,176.75,84,100.0,CENPW
227052_at,20,0.0008600289,0.0,173.1,30,100.0,SMIM14
210761_s_at,20,0.055562478,0.0274266,35.95,1,100.0,GRB7
210930_s_at,20,0.27746123,0.22787702,3.0,1,100.0,ERBB2
210735_s_at,20,0.0,0.0,225.4,118,100.0,CA12
209680_s_at,20,0.008107503,0.0,206.55,6,100.0,KIFC1
209642_at,20,0.0021867151,0.0,194.95,18,100.0,BUB1
210052_s_at,20,0.007670626,0.0,191.15,8,100.0,TPX2
209408_at,20,0.0041969456,0.0,157.75,12,100.0,KIF2C
207828_s_at,20,0.0,0.0,201.65,120,100.0,CENPF
220624_s_at,20,0.0002177365,0.0,128.45,40,100.0,ELF5
220651_s_at,20,0.004893992,0.0,116.1,15,100.0,MCM10
219918_s_at,20,0.0013892533,0.0,124.4,21,100.0,ASPM
203554_x_at,20,0.0033720382,0.0,171.3,19,100.0,PTTG1
219497_s_at,20,0.00017458865,0.0,129.2,55,100.0,BCL11A
203418_at,20,0.0052040713,0.0,131.35,15,100.0,CCNA2
228241_at,20,0.0039415536,0.0,162.15,16,100.0,AGR3
202908_at,20,0.0058909515,0.0,93.25,20,100.0,WFS1
202870_s_at,20,0.0,0.0,136.95,74,100.0,CDC20
205548_s_at,20,0.000532763,0.0,175.55,52,100.0,BTG3
221436_s_at,20,0.0033719495,0.0,97.25,25,100.0,CDCA3
223861_at,20,0.0005154573,0.0,130.7,53,100.0,HORMAD1
223491_at,20,0.00061587617,0.0,129.45,42,100.0,COMMD2
224447_s_at,20,0.00992894,0.0063277287,67.4,15,100.0,MIEN1
222039_at,20,0.0,0.0,130.8,47,100.0,KIF18B
222835_at,20,0.0,0.0,137.8,59,100.0,THSD4
205393_s_at,20,0.0001947346,0.0,174.0,60,100.0,CHEK1
226506_at,20,0.0011486354,0.0,137.7,49,100.0,THSD4
204146_at,20,0.0005266393,0.0,192.85,50,100.0,RAD51AP1
204126_s_at,20,0.00783329,0.0,164.1,11,100.0,CDC45
204162_at,20,0.0,0.0,206.9,145,100.0,NDC80
204033_at,20,0.0,0.0,190.85,112,100.0,TRIP13
225834_at,20,0.005233215,0.0,150.0,22,100.0,FAM72A
203963_at,20,0.00065340736,0.0,171.95,37,100.0,CA12
226197_at,20,0.002347181,0.0,154.55,22,100.0,AR
226192_at,20,0.0009044268,0.0,153.35,33,100.0,AR
209603_at,20,0.0015221715,0.0,195.55,30,100.0,GATA3
209604_s_at,20,0.0,0.0,215.3,113,100.0,GATA3
209464_at,20,0.0050153295,0.0,189.3,15,100.0,AURKB
221811_at,20,0.061370213,0.04551526,32.5,3,100.0,PGAP3
233388_at,20,0.00017039233,0.0,141.8,56,100.0,
235786_at,20,0.00048631663,0.0,130.75,53,100.0,
212956_at,20,0.0006247881,0.0,209.6,39,100.0,TBC1D9
212960_at,20,0.0,0.0,224.05,137,100.0,TBC1D9
234354_x_at,20,0.16637611,0.20165008,18.85,2,100.0,ERBB2
