probe_id,gene_symbol,shap_importance,rank
218211_s_at,MLPH,0.35978392,1
204092_s_at,AURKA,0.26767612,2
210930_s_at,ERBB2,0.2671625,3
205225_at,ESR1,0.23453161,4
234354_x_at,ERBB2,0.1951099,5
232322_x_at,STARD10,0.17497183,6
229150_at,,0.12232199,7
200934_at,DEK,0.1085468,8
201710_at,MYBL2,0.089683205,9
202991_at,STARD3,0.08915121,10
221811_at,PGAP3,0.088365965,11
55616_at,PGAP3,0.07346684,12
213611_at,AQP5,0.0660301,13
218319_at,PELI1,0.06554637,14
220054_at,IL23A,0.06521035,15
224753_at,CDCA5,0.050903928,16
210761_s_at,GRB7,0.05088386,17
203968_s_at,CDC6,0.04164408,18
228362_s_at,CALHM6,0.040578607,19
219867_at,CHODL,0.03748903,20
215593_at,,0.034735728,21
203967_at,CDC6,0.030876346,22
206364_at,KIF14,0.027856858,23
201388_at,PSMD3,0.026561283,24
233445_at,,0.02361255,25
223700_at,MND1,0.022342805,26
203380_x_at,SRSF5,0.021877337,27
242580_at,,0.020393645,28
219555_s_at,CENPN,0.019789709,29
219455_at,CFAP69,0.019510312,30
221677_s_at,DONSON,0.019356355,31
235046_at,INPP4B,0.01876208,32
214858_at,GPC1-AS1,0.017948708,33
232282_at,WNK3,0.017671179,34
225421_at,PM20D2,0.017234849,35
225687_at,SACK1D,0.017072698,36
214700_x_at,RIF1,0.015843377,37
201381_x_at,CACYBP,0.0134423245,38
203418_at,CCNA2,0.012141944,39
223523_at,TMEM108,0.011814525,40
202954_at,UBE2C,0.011382922,41
220651_s_at,MCM10,0.010567261,42
210085_s_at,ANXA9,0.008975629,43
224447_s_at,MIEN1,0.008963688,44
204126_s_at,CDC45,0.007488207,45
223259_at,ORMDL3,0.0072062355,46
218447_at,CMC2,0.0071687847,47
218976_at,DNAJC12,0.006623853,48
1555270_a_at,WFS1,0.0064099296,49
235956_at,CEP126,0.0062197214,50
