Gene,Importance
203554_x_at,0.08253622
236641_at,0.04136829
219918_s_at,0.040707413
205046_at,0.032587323
218211_s_at,0.02952466
210691_s_at,0.02891445
232322_x_at,0.023774553
203358_s_at,0.02242144
210930_s_at,0.021695685
202908_at,0.021426842
204092_s_at,0.02049415
204962_s_at,0.01785476
206364_at,0.017712804
223307_at,0.016962811
202705_at,0.016792603
229150_at,0.015892603
223700_at,0.0139860995
223229_at,0.013659185
204862_s_at,0.012493875
1554572_a_at,0.012286465
210761_s_at,0.012254825
228969_at,0.011848146
223103_at,0.01108172
224753_at,0.010789604
235956_at,0.010596474
201710_at,0.010376864
203968_s_at,0.009898732
220192_x_at,0.009826903
203145_at,0.009754989
209642_at,0.009602546
1558447_at,0.009009394
211000_s_at,0.007794402
205225_at,0.0076483
209603_at,0.007490823
1564651_at,0.007366381
209464_at,0.0073024873
1569867_at,0.0072774813
205044_at,0.007267801
205548_s_at,0.0072606485
219455_at,0.0068447776
1558448_a_at,0.006672436
218447_at,0.006408302
209313_at,0.0061808364
202580_x_at,0.005818061
227331_at,0.0057268594
209460_at,0.0056984485
220220_at,0.0056874226
203380_x_at,0.0055784937
234354_x_at,0.0055597713
204508_s_at,0.005504216
214071_at,0.0053051296
242555_at,0.005285032
1559051_s_at,0.005160503
217383_at,0.005097194
219555_s_at,0.0049564154
203418_at,0.00479547
202200_s_at,0.0047699413
209342_s_at,0.0045480616
215086_at,0.0044473973
211110_s_at,0.0044357073
227363_s_at,0.004345621
1053_at,0.004301771
204914_s_at,0.0042708395
212960_at,0.004024577
213134_x_at,0.0039793197
225330_at,0.0039691967
1554493_s_at,0.0039099017
202954_at,0.0038963552
203696_s_at,0.0037892654
210758_at,0.0035869232
229360_at,0.0035810934
207828_s_at,0.0035685885
232865_at,0.003461267
203535_at,0.0031718386
200934_at,0.0030994748
244689_at,0.003078774
200811_at,0.003077064
228868_x_at,0.0030630918
212021_s_at,0.0030521234
228273_at,0.0030477939
214431_at,0.003024507
221811_at,0.0030118902
223062_s_at,0.0028888672
204045_at,0.0028874208
217465_at,0.0028846776
226506_at,0.0028809288
214249_at,0.0027137932
206538_at,0.0026978059
204146_at,0.0026964946
218319_at,0.0026787058
227657_at,0.0026695908
225327_at,0.002652336
1552619_a_at,0.0025382524
225912_at,0.0025256206
220624_s_at,0.00242399
219493_at,0.002414801
40016_g_at,0.0023988683
212638_s_at,0.002386218
219867_at,0.0023748467
209002_s_at,0.0023744307
205448_s_at,0.002287319
231094_s_at,0.0020923712
203967_at,0.002092322
220054_at,0.0020146202
209843_s_at,0.0019893895
216836_s_at,0.0019344467
202613_at,0.0019277002
202991_at,0.0019104308
214404_x_at,0.0018427466
238865_at,0.0018353743
235046_at,0.0018073134
225834_at,0.0017438605
203362_s_at,0.0017322584
55616_at,0.0016653023
205030_at,0.0016288281
224925_at,0.0016161125
213611_at,0.0016059421
226907_at,0.0014976839
224447_s_at,0.001384005
227052_at,0.0013744745
242580_at,0.0013543506
202088_at,0.0013080932
236496_at,0.0012750322
214772_at,0.0012738951
1557611_at,0.0012377384
201388_at,0.0012318187
230645_at,0.0012299154
232914_s_at,0.0011738483
204863_s_at,0.001171194
224428_s_at,0.0011446445
210908_s_at,0.0011237932
228956_at,0.0011130271
225439_at,0.0010667943
242108_at,0.0010625905
240242_at,0.0010354861
211762_s_at,0.0010136256
228559_at,0.0009758078
1555270_a_at,0.0009589502
201291_s_at,0.00094956544
214769_at,0.0009408928
212956_at,0.0009206982
212195_at,0.0009124198
215304_at,0.00089776784
213441_x_at,0.0008634317
233520_s_at,0.0008577455
210683_at,0.00085727614
212985_at,0.0008520082
221677_s_at,0.0007890275
201236_s_at,0.00075057667
215593_at,0.00074465753
211767_at,0.0007062634
204023_at,0.0006707359
214164_x_at,0.00066668994
212501_at,0.0006367242
228362_s_at,0.0006240643
207132_x_at,0.00058648654
208103_s_at,0.00058353913
226961_at,0.0005612168
202636_at,0.0004927442
212023_s_at,0.00049187744
220060_s_at,0.00047721656
201124_at,0.00046236417
209644_x_at,0.0004616299
216237_s_at,0.00045988013
202107_s_at,0.00044091858
227522_at,0.00043755755
229764_at,0.00039857667
234294_x_at,0.00037368754
205240_at,0.00034992548
231698_at,0.00034275156
204315_s_at,0.0003413918
212949_at,0.00033363115
212744_at,0.00033236603
217838_s_at,0.00032425814
209604_s_at,0.00031051412
224989_at,0.000307379
229610_at,0.00028592045
209173_at,0.00027752353
235786_at,0.00027314897
228241_at,0.00021900475
231938_at,0.00021018418
222760_at,0.00020965068
204825_at,0.00017822816
209459_s_at,0.00016023238
220651_s_at,0.00015643222
208682_s_at,0.00015484204
214440_at,0.00014779066
218355_at,0.00014687529
211986_at,0.00012349644
200810_s_at,0.00011405686
223491_at,0.00010724849
211621_at,8.5952925e-05
223861_at,8.2964325e-05
215867_x_at,4.7920083e-05
225724_at,4.573702e-05
227811_at,4.3656e-05
220581_at,3.8904585e-05
229543_at,3.7120673e-05
212970_at,3.6163758e-05
225687_at,3.5585814e-05
226192_at,3.021171e-05
212496_s_at,2.1993925e-05
225658_at,1.9177349e-05
218755_at,1.8598115e-05
205819_at,1.1121351e-05
209602_s_at,9.417711e-06
228718_at,7.1067066e-06
212419_at,0.0
210052_s_at,0.0
209747_at,0.0
211042_x_at,0.0
212492_s_at,0.0
209680_s_at,0.0
240517_at,0.0
232944_at,0.0
232796_at,0.0
235606_at,0.0
237086_at,0.0
202779_s_at,0.0
211519_s_at,0.0
202870_s_at,0.0
202808_at,0.0
230060_at,0.0
202089_s_at,0.0
202240_at,0.0
202095_s_at,0.0
232278_s_at,0.0
232065_x_at,0.0
234222_at,0.0
233388_at,0.0
237339_at,0.0
237968_at,0.0
201795_at,0.0
1568574_x_at,0.0
201897_s_at,0.0
202589_at,0.0
212745_s_at,0.0
212022_s_at,0.0
222453_at,0.0
221520_s_at,0.0
221436_s_at,0.0
219497_s_at,0.0
219978_s_at,0.0
219687_at,0.0
219440_at,0.0
219197_s_at,0.0
219498_s_at,0.0
218497_s_at,0.0
218662_s_at,0.0
218663_at,0.0
218726_at,0.0
218769_s_at,0.0
209408_at,0.0
218542_at,0.0
218009_s_at,0.0
218039_at,0.0
213523_at,0.0
213226_at,0.0
215616_s_at,0.0
214240_at,0.0
216092_s_at,0.0
205393_s_at,0.0
217938_s_at,0.0
204887_s_at,0.0
205730_s_at,0.0
205394_at,0.0
206102_at,0.0
207165_at,0.0
215942_s_at,0.0
222039_at,0.0
221591_s_at,0.0
204126_s_at,0.0
203963_at,0.0
203276_at,0.0
203755_at,0.0
204033_at,0.0
203214_x_at,0.0
223204_at,0.0
222962_s_at,0.0
222845_x_at,0.0
222608_s_at,0.0
225611_at,0.0
222835_at,0.0
203805_s_at,0.0
204318_s_at,0.0
204162_at,0.0
226980_at,0.0
226936_at,0.0
204822_at,0.0
204641_at,0.0
226120_at,0.0
226197_at,0.0
204603_at,0.0
226597_at,0.0
226661_at,0.0
227533_at,0.0
228708_at,0.0
229538_s_at,0.0
243074_at,0.0
1552733_at,0.0
